Date,Job_Title,Rating,Current/Former,View_URL,Summary,Location,Recommend,CEO Approval,Business Outlook,Pros,Cons
10-Apr-21, Specialist,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45301515.htm,Great,in Jakarta,Recommend,CEO Approval,Business Outlook,Salary for specialist is one of the best,Workload for employee is very high
12-Jun-21, Aerospace Engineer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48247677.htm,Well Structured,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"Working here was good because of the flexibility, low hours and low stress.",Working here felt slow paced.
16-Jun-21, Anonymous Employee,4.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48413595.htm,Working culture,"in Seletar,",Recommend,CEO Approval,Business Outlook,"Nice environment to work in, transparency in management",Do not have specialize training for the job you undertake
16-Jun-21, Data Scientist,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48432511.htm,Very stable & secure,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,"- Great benefits
- Very stable & secure","- Bureaucratic, lots of ""managers"" not doing very much"
14-Mar-21, Mechanical Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43971805.htm,Great company,in Friedrichshafen,Recommend,CEO Approval,Business Outlook,"Salary is really good compared to other companies
Working hours is flexible 
Wide range of possible experience 
Bonus
Work Life balance","Not really one
The city is for families, so for young people can be boring"
25-Mar-21, Associate Engineer,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44546586.htm,General,in Bangalore,Recommend,CEO Approval,Business Outlook,"Airbus is nice place to work in with proper work life balance, without compromising on the financial benifits",Downsides are very minimal at Airbus India
5-Apr-21, Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45065252.htm,Good work like balance,in Bangalore,Recommend,CEO Approval,Business Outlook,Good work like balance for the employees,Nothing as such so far
6-Apr-21, Industrial Architect,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45087713.htm,Great company,in Hamburg,Recommend,CEO Approval,Business Outlook,"Inspiring products, good challenge levels.",Heavy management structure & lack of agility
20-May-21, Procurement Manager,4.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47203548.htm,Good experience,,Recommend,CEO Approval,Business Outlook,"Career opportunities in the group
International & diversity
Very practical on site services (gym, concierge service, beautycian, etc.)","Hard to get in
Personal and team objectives could be better designed
Variable compensation is not so rewarding of the performance actually given"
18-May-21, Others,1.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47140116.htm,"Really a bad place to work, No proper management, bad environment, no one understand you,no communication.",,Recommend,CEO Approval,Business Outlook,"As a company it has a good name but if you deep dive you will see the reality, they do not have any proper system at all",Everything is challenging they do not want to improve rather politics is really high.No respect for employees
26-Mar-21, Marketing Specialist,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44595927.htm,Great Company with great teams,in Jakarta,Recommend,CEO Approval,Business Outlook,Friendly team members who will work together,Opportunity to climb up the ladder is quite limited
8-Jun-21, Engineer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48089812.htm,Good company,,Recommend,CEO Approval,Business Outlook,"Salary incentives, opportunity to travel, opportunity to work in other countries",Not a lot and outweighed by pros
5-Apr-21, Procurement Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45025901.htm,Unique Company,,Recommend,CEO Approval,Business Outlook,"International environment, opportunities, technological environment","Slow paced evolution, very political organization"
17-Mar-21, Werkstudentin Customer Service and Support,5.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44142656.htm,Hamburg Best Employer for Students,in Hamburg,Recommend,CEO Approval,Business Outlook,Very cool work atmosphere and flexible working times for students,A permanent contract if difficult to get / almost impossible to have
6-Jun-21, Anonymous Employee,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47963555.htm,Complex & Political but Amazing Projects,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,"Variety 
Independence 
Great location 
Great benefits","Very political
Low risk tolerance 
Slow to change"
10-May-21, Engineer,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46735582.htm,Great Company,,Recommend,CEO Approval,Business Outlook,"Inspiring products, great people, feel part of a global community and make lifelong friends","National politics is always just beneath the surface, which is a shame because the people are wonderful to work with across all business units and nationalities."
30-Mar-21, Manufacturing Engineer,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44791932.htm,Good,in Madrid,Recommend,CEO Approval,Business Outlook,Good team spirit and good salary,Difficult to change way of working
29-Apr-21, Senior Manager,3.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46261089.htm,Shifting times for the company,in Hamburg,Recommend,CEO Approval,Business Outlook,"Good salary, Interesting Product, Motivated colleagues","Too hierarchical structure, Poor culture Middle Management, low possibilities of training/education"
8-Jun-21, Engineer,2.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48084281.htm,Data engineer,,Recommend,CEO Approval,Business Outlook,Great community and they people are nice,For me I didnÕt have problem there
5-Jun-21, Systems Engineer,3.0,"Former Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47939340.htm,Great place to work,,Recommend,CEO Approval,Business Outlook,Stability and cutting edge technology,Too many layers of management
23-Mar-21, Anonymous Employee,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44415712.htm,Yes,,Recommend,CEO Approval,Business Outlook,Very good company fir work in,No at all any cons in this company
20-May-21, Systems Engineer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47203873.htm,Good company to work for,in Madrid,Recommend,CEO Approval,Business Outlook,"Good conditions, good salary, interesting job.",You are a small fish in a huge tank. People are not important for the company.
5-Feb-21, Anonymous Employee,5.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42008671.htm,Satellite performance engineer,in Ottobrunn,Recommend,CEO Approval,Business Outlook,"In the technical side, very interesting projects to work on. In the personal side, very good conditions, good atmosphere and flexibility","Only some small drawbacks of beign in such a big company, coordination among countries and business units is sometimes not efficient"
2-Mar-21, Supply Chain Operations Manager,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43318060.htm,Great personal development,,Recommend,CEO Approval,Business Outlook,Really great job to develop project management skills while understanding better the challenges faced in the industry.,Very centralized and slow decision making.
29-Nov-20, Software Architect,5.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW38842597.htm,Excellent company to work,in Immenstaad am Bodensee,Recommend,CEO Approval,Business Outlook,"Excellent projects to work on, since major ESA missions to R&D
Great mobility program between different Airbus sites across Europe
New management looks like they want to fight the company old processes
Great salary with flextime","As a big company, could be difficult to get new ideas in place. Still a lot ""we did it like this for years""
Internal processes are still too heavy and time wasting
Internal technology stack is way outdated"
1-May-21, Engineer,2.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46340167.htm,"To survive, be obsequious",in Bangalore,Recommend,CEO Approval,Business Outlook,"Reputed company,
Short Europe visits,
International Exposure","Nepotism,
Hire and Fire culture,
Indian management refusing new projects from Europe,
No expansion in India,
No innovation centers in India"
26-Jul-20, Development Engineer,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW34445224.htm,Excellent Company with Excellent Values,,Recommend,CEO Approval,Business Outlook,"1. Depending on the location and responsibilities, one can be extremely close to the product (and hear the sound of aircraft every so often). This is a major boost to those whose emotions resonate with the art and science of powered lift.

2. Unmatched salaries.

3. Extremely satisfying work-life balance.

4. Most people work with tremendous passion.

5. Many opportunities and platforms to learn, grow, and innovate.

6. Deep-rooted culture in aviation quality and safety.

7. Increasing level of employee empowerment, improving gender and cultural representation, stronger focus on core values, and increasing trans-functional and trans-divisional networking.","1. Slow-paced (and multi-layered) decision making. Also, slow rate of adoption of radically new technologies.

2. Products and platform development lasts several years and time to fruition of one's contributions can be long.

3. Frequent rejigs of the organizational structure.

4. Inefficient use of time and resources in certain projects and in certain mundane business activities.

5. Reluctance of the old guard to embrace changes and adopt newer working styles."
2-Mar-21, Simulation Engineer,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43378771.htm,Airbus Review,in Bangalore,Recommend,CEO Approval,Business Outlook,"Best Aerospace company, A lot of learning from OEM prospective, Good Salary and hike, Knowledge growing","No as of now came across,"
26-Apr-21, Development Engineer,2.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46060182.htm,Really good conditions but old mindset,in Donauwrth,Recommend,CEO Approval,Business Outlook,"Money, stability, mobility. In general you will have really good conditions once you are internal","In short: Working culture. Depending on the division the working culture variates, but in general it is old minded, despite efforts to change that."
29-May-21, Fitter,2.0,"Former Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47639723.htm,job security none,"in Broughton, Wales",Recommend,CEO Approval,Business Outlook,good hourly rate but not good shifts,good hourly rate with shift allowance
25-May-21, Engineer,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47430053.htm,Good company for learning exeperience,in Bangalore,Recommend,CEO Approval,Business Outlook,Good company for passinate peoples to buid career,Indivisual oriented rather than process
28-Feb-21, Mechanical Engineer,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43213306.htm,Great place to grow,"in _d_, Ldz",Recommend,CEO Approval,Business Outlook,"Challenging projects
Available trainings
Possibility go aboraod to the headquarters in France or Germany
Additional benefits","Considerably low salary
Low working hours flexibility"
17-May-21, Installer,1.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47055420.htm,real bad place,"in Fort Erie, ON",Recommend,CEO Approval,Business Outlook,people on the floor were nice,worst supervisor ever no idea what he is doing but if you question him he screws you over.
17-May-21, Analyst,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47063813.htm,Challenging work,in Brisbane,Recommend,CEO Approval,Business Outlook,"Big company, challenging work, international opportunities","Lots of budget pressure from Corporate, leading to resource cuts. Working excessive overtime."
9-Mar-21, Lead Stress Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43734737.htm,Work life balance,,Recommend,CEO Approval,Business Outlook,Work life balance is very good,None I can think off
3-Mar-21, Legal Counsel,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43397349.htm,A good place to work,,Recommend,CEO Approval,Business Outlook,Good working conditions and remuneration,there is no cons associated with this position.
17-Feb-21, Engineer,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42656671.htm,Good place,in Bangalore,Recommend,CEO Approval,Business Outlook,Transparent communication from top management till us,HR may put out more effort for aligning with laptop for all. And work from home opportunities
24-May-21, Experienced Software Engineer,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47361096.htm,Not bad,in Bangalore,Recommend,CEO Approval,Business Outlook,Dynamic company with average pay,"Individuality, process is not the key."
8-Mar-21, Project Manager,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43649779.htm,Hello,in Hamburg,Recommend,CEO Approval,Business Outlook,"Work life balance, everything is good","Nothing, everything is very good"
20-May-21, Systems Engineer,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47254618.htm,Inspiring work,"in Portsmouth, England",Recommend,CEO Approval,Business Outlook,Geat individual teams and inspiring work.,Disorganised company structure and misleading management organisation.
20-May-21, Senior Subcontracts Manager,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47210720.htm,Fascinating work,"in Portsmouth, England",Recommend,CEO Approval,Business Outlook,Engineering work is exciting - enthusiastic personnel,This is To be Confirmed
18-May-21, Mechanical Engineer,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW47083436.htm,OK,in Eindhoven,Recommend,CEO Approval,Business Outlook,it is a decent job experience,Need to focus more on personal development of staff
15-May-21, Engineer,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46971761.htm,Good place to grow professionaly,,Recommend,CEO Approval,Business Outlook,Good salary and good environment,So many working hours and even weekends
5-Apr-21, Project Manager,3.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45045052.htm,Juste a French company...,in lancourt,Recommend,CEO Approval,Business Outlook,"Big company, stable, advantages (less and less but still some). Possibility to move inside the company","Often (too often), the organisational structure is still based on silo, very old and above all ineffective. Management is getting super old... Huge latency in decision making system."
26-Jan-21, Engineering Manager,5.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41412634.htm,Exciting Place to work,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"Design and build aircraft, technically challenging, emotionally rewarding and if you are lucky you get to fly on the flight test aircraft in the crew jump seat.",Average Salaries Lower than engineering sector average
28-Feb-21, Intern,5.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43220047.htm,Excelent place,"in Munich, Bavaria",Recommend,CEO Approval,Business Outlook,The tasks were very interesting,The location was far from Munich
9-Jun-21, Senior Compensation Analyst,1.0,"Current Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW48145312.htm,Great company to work at,in Toulouse,Recommend,CEO Approval,Business Outlook,"Incredible company culture, international environment, amazing products","I can see nothing, really"
15-May-21, Manager,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46973262.htm,employer,"in London, England",Recommend,CEO Approval,Business Outlook,Large global company with opportunities,Too many chiefs and not enough indians
11-May-21, Engineering Manager,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46783889.htm,Acceptable,in Toulouse,Recommend,CEO Approval,Business Outlook,Toulouse is in a nice part of France,Too much bureaucracy and politics
13-May-21, Anonymous Employee,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46904375.htm,Good,in Hamburg,Recommend,CEO Approval,Business Outlook,International environment and English is the working language.,No external candidates are allowed
11-May-21, Spacecraft Engineer,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46798038.htm,good,,Recommend,CEO Approval,Business Outlook,"technology, worklife balance, culture, activities , mobility,","not many, salties not very high"
1-May-21, Manufacturing Engineer,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46328433.htm,Good Employer,,Recommend,CEO Approval,Business Outlook,"Good payment, OK products, good work life balance",Company is way to big => therefore very slow decision making
9-Mar-21, Project Manager,4.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43711063.htm,Great company with hard to beat benefits,"in Filton, England",Recommend,CEO Approval,Business Outlook,"Great benefits from holidays, training incentives, work/life balance, profit share scheme, variable pays. Well led and directed from management and career development & progression is well driven here. Very empowered employees.",Salary less than standard. Slow to work due to politics and massive processes prevent quick solutions.
11-May-21, Licensed Engineer,4.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46785702.htm,B1,"in London, England",Recommend,CEO Approval,Business Outlook,Relaxed and nice work atmosphere,A bit of the same
3-May-21, Vice President,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46391845.htm,Good company to work for,in Toulouse,Recommend,CEO Approval,Business Outlook,"Great product, lots of exciting opportunities",Can be too big and bureaucratic
18-Feb-21, Senior Trader,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42720807.htm,Great,in Toulouse,Recommend,CEO Approval,Business Outlook,Hours Culture Network Progression Leadership,Industry Airline Aerospace Defense Satelite
21-Jan-21, Working Student,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41145563.htm,Very Good Employer,in Hamburg,Recommend,CEO Approval,Business Outlook,"Flexible working hours, opportunities for further development, above-average salary, additional benefits, very good transport infrastructure","Hierarchy, many men as employees, little chance of being hired for a job"
6-May-21, Anonymous Employee,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46560649.htm,Gute Arbeitgeber,,Recommend,CEO Approval,Business Outlook,Salary and compensation package is ok,Nothing specific to talk about
23-Mar-21, Anonymous Employee,3.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44420398.htm,Good for politicians,in Bangalore,Recommend,CEO Approval,Business Outlook,"Use of new technologies, good support from Europion peoples.
Lot of learning","Poor politics,
Those who are there since long time will not let you grow. 
They want people who are ""Yes Boss"" Type.
They have all policies but all in document, nothing is implemented."
3-May-21, Senior Software Engineer,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46407296.htm,Industry Leader,"in Helsinki, Southern Finland",Recommend,CEO Approval,Business Outlook,Pretty stable and stress-free work environment,"Very rigid IT environment, bureaucratic"
15-Feb-21, Aeronautical Engineer,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42516248.htm,Great,,Recommend,CEO Approval,Business Outlook,They were super duper cool,Not much to say lmao
3-Feb-21, Senior Engineer,5.0,"Current Employee, more than 5 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41899092.htm,Great company,"in Oxford, England",Recommend,CEO Approval,Business Outlook,"Really great company, love working for them",It can be very busy at times
8-Apr-21, Manager,2.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45232988.htm,Work here if you want to do nothing,in Paris,Recommend,CEO Approval,Business Outlook,Lots of meetings nothing is done.,"Politics, in-fighting, big company, slow moving."
29-Apr-21, Sales Manager,4.0,"Former Employee, more than 8 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46226602.htm,Good place,in Toulouse,Recommend,CEO Approval,Business Outlook,"Good balance work-private
Opportunities for internal mobility",Benefits vs average industry standard
24-Apr-21, Commercial Manager,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45985175.htm,Airbus,,Recommend,CEO Approval,Business Outlook,Lots of opportunities to work transnationally,Head office centric so progression more likely if live in Toulouse
1-May-21, Student,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW46335707.htm,Good,"in Runcorn, England",Recommend,CEO Approval,Business Outlook,The Money is very good.,Aerospace industry is very hard
28-Jan-21, Senior Software Engineer,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41547725.htm,Good place to work,in Manching,Recommend,CEO Approval,Business Outlook,A lot of opportunities to contribute exciting projects,The projects are going a bit slow.
23-Apr-21, Manager de l&#39; innovation,4.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45979590.htm,A pioneering company,in Toulouse,Recommend,CEO Approval,Business Outlook,"inclusive, engineering focused, essential actor in aeronautics","bureaucracy, too big, heavy organization"
2-Feb-21, Anonymous Employee,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41809397.htm,great company,,Recommend,CEO Approval,Business Outlook,"great company, good compensation benefits",long hours when we launch new projects
26-Jan-21, Project Engineer,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41459450.htm,Competitive aeronautics company,in Ciudad de Mexico,Recommend,CEO Approval,Business Outlook,"good system, good workmates, nice salaries","difficult work charge, sometimes you dont control outside variables"
20-Jan-21, Werkstudentin,5.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41116525.htm,"Big company, yet very flexible",in Hamburg,Recommend,CEO Approval,Business Outlook,I didn't feel the hierarchy at all.,Too much bureaucracy of waiting for things to be approved
23-Apr-21, ATA32 Engineer,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45957432.htm,Landing Gear Engineer,"in Bristol, England",Recommend,CEO Approval,Business Outlook,"- expertise is in demand
- dynamic environment","- career progression is slow
-"
28-Dec-20, Human Resources Manager,3.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39865699.htm,"International environment, Career opportunities,very  political company.",in Santiago,Recommend,CEO Approval,Business Outlook,"International Environment. 
Opportunity tu develop an international career. 
High level proffesionals
Best market practices","French culture tends to be over the local culture&nationalities, in terms of career opportunities, salary payment, job positions. 
Micromanagement in the small subsidiaries
Higly political company over performance. 
Compensation and benefits below the market"
19-Apr-21, Anonymous Employee,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45714210.htm,"Good place to work, highly bureaucratic",,Recommend,CEO Approval,Business Outlook,"Good work life and benefits, security","Hard to advance career, heavy bureaucracy"
20-Apr-21, Technical Data Engineer,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45771706.htm,Excellent company,in Hamburg,Recommend,CEO Approval,Business Outlook,"Career management, opportunities in a big group",Very large structure with very specialised roles
24-Jan-21, Supply Chain Specialist,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41315284.htm,Very good company,in Hamburg,Recommend,CEO Approval,Business Outlook,"interesting tasks, great international outlook","temp contract, they replace you what ever your performance is"
31-Jan-21, Mbda,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41709624.htm,Good company,"in Stevenage, England",Recommend,CEO Approval,Business Outlook,Great place for travel around,None to complain of at all
29-Jan-21, Head of Indirect Procurement,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41633053.htm,Good,"in Mnchen, Bavaria, Bavaria",Recommend,CEO Approval,Business Outlook,Nice to work for company,Slow sometimes in way of working
16-Apr-21, Purchasing Specialist,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45629243.htm,Purchasing specialist,"in Warsaw, Masovia",Recommend,CEO Approval,Business Outlook,"New technology, multicultural environment with many persons around globe","Old methods, way of work"
15-Apr-21, Project Manager,4.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45545721.htm,Good organization,"in Seletar,",Recommend,CEO Approval,Business Outlook,Good culture and ample room for good career prospect,Vendors are hard to manage
26-Jan-21, Senior Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41425870.htm,Great all round,,Recommend,CEO Approval,Business Outlook,Really great stuff all round,"nonbad stuff really, see above"
19-Mar-21," Guidance, Navigation, & Control Engineer (GNC)",3.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44264362.htm,"Great projects, terrible salary","in Stevenage, England",Recommend,CEO Approval,Business Outlook,"Great projects, interesting work, great colleagues","Awful salary, like how do you survive terrible."
25-Jan-21, Anonymous Employee,5.0,"Former Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41383372.htm,Service manager,,Recommend,CEO Approval,Business Outlook,Competitive salary and great benefits,Dislocated management chain across Europe
9-Mar-21, Supply Chain Manager,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43735749.htm,Good employer if you're fine with low speed and low innovation,in Hamburg,Recommend,CEO Approval,Business Outlook,"Good working conditions and work life balance with trainings and support
Very technical, good for engineers who like digging deep in the details
Super international","Super slow and complex processes
Slow decision process
Power driven company"
8-Apr-21, Operational Manager,4.0,"Current Employee, more than 3 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45218849.htm,Stable place to work,in Wunstorf,Recommend,CEO Approval,Business Outlook,Trainings and stile of life in place,"Travels and meetings scheduled, but you can manage"
13-Apr-21, Intern,4.0,"Former Employee, less than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45462983.htm,Great Experience,"in Tianjin, Tianjin",Recommend,CEO Approval,Business Outlook,"-learn a lot
-nice lunch cafe
-shuttle",-for internship there's no downside to me
3-Mar-21, Systems Engineer,3.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW43423256.htm,Airbus is a good place to work.,"in Farnborough, England",Recommend,CEO Approval,Business Outlook,"Lots of opportunities for career diversification.
Generous salary package with great benefits.
Flexible working arrangements.","Highly political organization to work in. 
Decision making almost always taken reactively and by the wrong level of the organization.
Small cog in big machine culture."
30-Dec-20, IT Engineer,5.0,"Former Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39950900.htm,"Great job, a lot of flexibility",in Manching,Recommend,CEO Approval,Business Outlook,I had a great time with a lot of different tasks,"Not much, I was very happy to work there."
19-Jan-21, Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW41013738.htm,God company,,Recommend,CEO Approval,Business Outlook,Very good company to work,Bosses are too demanding here
12-Feb-21, Software Engineer,4.0,"Current Employee, more than 10 years",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW42401124.htm,General Review,"in Stevenage, England",Recommend,CEO Approval,Business Outlook,Work with Multiple functions very challenging work in the space sector- get the chance to work on important projects.,Difficult to move around past a certain age - as in most businesses
13-Apr-21, Service Delivery Manager,3.0,"Current Employee, more than 1 year",https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW45422263.htm,Airbus,"in Blandford Forum, England",Recommend,CEO Approval,Business Outlook,Good salary and excellent benefits.,Understaffed and too much HR stuff
19-Jan-21, Manager,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW40982559.htm,Good,"in Chester, England",Recommend,CEO Approval,Business Outlook,Teamwork is strong great team,None I can think of
30-Dec-20, Mechanical Engineer,5.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW39927349.htm,.,in Madrid,Recommend,CEO Approval,Business Outlook,Really good place to work and grow,Big salary gap only based on the years in the company not in the value added
1-Apr-21, Engineer,3.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44922230.htm,Airbus Review,in Bangalore,Recommend,CEO Approval,Business Outlook,"Good work, Good visibility, Motivated colleagues","Management needs to improve, HR policies needs to be more mature"
14-Jan-21, Internship,5.0,Former Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW40686193.htm,Airbus Internship,in Friedrichshafen,Recommend,CEO Approval,Business Outlook,Great internship and interesting work experience,No particular cons to report
20-Mar-21, Engineering Professional,4.0,Current Employee,https://www.glassdoor.com/Reviews/Employee-Review-Airbus-RVW44314461.htm,Mediocre - hybrid organization between old owner and new,"in Mirabel, QC",Recommend,CEO Approval,Business Outlook,Great work-life balance and flexibility of work,Factory/location far away from major city
